exception_type,classification,source_row,thesis_id,year,thesis_title,details,review_status,review_notes
suspicious/combined co-adviser cell,ambiguous/manual review required,119,bsge-2025-118,2025,Aboveground Biomass Estimation of Rice Crops (Oryza sativa L.) Utilizing Parameters Derived From UAV-Based LiDAR And Multispectral Satellite Sensors,"Raw co-adviser cell parsed as ['Bahia, Roel, T']; delimiters=['none']",pending-review,
suspicious/combined co-adviser cell,ambiguous/manual review required,120,bsge-2025-119,2025,"Assessing the Relationship between Coastal Reclamation and Seagrass Ecosystems in Coron, Palawan using Multitemporal Remote Sensing, Shoreline Change Analysis, and Turbidity Mapping","Raw co-adviser cell parsed as ['Quiros, Angela, L']; delimiters=['none']",pending-review,
suspicious/combined co-adviser cell,ambiguous/manual review required,125,bsge-2026-124,2026,Assessment of Carbon Stock Changes in Aquaculture-Converted Mangrove Ecosystems in Aklan Using Global Ecosystem Dynamics Investigation (GEDI) LiDAR,"Raw co-adviser cell parsed as ['Alvin Baloloy, Dr. Rempei Suwa']; delimiters=['none']",pending-review,
slug collision,resolved deterministic suffix,110,bsge-2024-109,2024,Potential Assessment of Agrivoltaic Systems In the Philippines Using RS And GIS: Case of Pangasinan Province,"Base slug 'potential-assessment-of-agrivoltaic-systems-in-the-philippines-using-rs-and-gis-case-of-pangasinan-province' resolved as 'potential-assessment-of-agrivoltaic-systems-in-the-philippines-using-rs-and-gis-case-of-pangasinan-province-a5de984b' using an 8-character SHA-1 suffix from year, authors, and title.",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Roseanne V. Ramos: 13 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"SARMIENTO, Czar Jakiri S.: 6 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"PRINCIPE, Jeark A.: 5 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Bienvenido G. Carcellar III: 2 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Mark Edwin A. Tupas: 2 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Czar Jakiri S. Sarmiento: 2 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Jeark A. Principe: 2 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"Claridades, Alexis Richard C.: 2 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Sheryl Rose Reyes: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Anjillyn Mae C. Perez: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Jose Rene Y. Montelibano: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Edgardo G. Macatulad: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Florence A. Galeon: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Patrick Ostrea: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Ransie Joy A. Apura: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Maricor N. Soriano: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Louie P. Balicanta: 1 occurrence(s),pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,Severino G. Salmo III Rosalie B. Reyes: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Amihan Y. Manuel: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Charissa M. Ferrera: 1 occurrence(s),pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,Ma. Rosario Concepcion O. Ang Dominic M. Bautista: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Ma. Rosario Concepcion O. Ang: 1 occurrence(s),pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,Dr. Charina Lyn A. Repollo: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Karl Adrian P. Vergara: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,Rafaela Jane P. Delfino: 1 occurrence(s),pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"TORRES, Rodyvito Angelo B.: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"AMEDO-REPOLLO, Charina Lyn: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"ANG, Ma. Rosario Concepcion O.: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"Babaan, Jennieveive B.: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"Vergara, Karl Adrian P.: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,"Carcellar, Bienvenido, G: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,"Herrera, Eugene, C: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,"Bahia, Roel, T: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,"Quiros, Angela, L: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"Ang, Ma. Rosario Concepcion O.: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,expected non-EnviSAGE adviser,,,,,"Salmo, Severino: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,"Alvin Baloloy, Dr. Rempei Suwa: 1 occurrence(s)",pending-review,
unmatched adviser-name variant,ambiguous/manual review required,,,,,Dr. Aletta T. Yñiguez: 1 occurrence(s),pending-review,
